TLOSS,LSTM_NODES,LAYERS,EMBEDDING_NODES,BEST_EPOCH
1.7334,50,4,100,19
1.6812,50,4,100,18
1.7021,50,4,200,19
1.6082,50,4,200,19
1.7201,50,4,300,15
1.6026,50,4,300,18
1.7846,50,6,100,17
1.6885,50,6,100,19
1.7389,50,6,200,19
1.6676,50,6,200,17
1.7636,50,6,300,16
1.6330,50,6,300,18
1.9913,50,8,100,0
1.7466,50,8,100,16
1.3757,300,5,100,20
1.9595,50,8,200,0
1.6828,50,8,200,19
1.7598,50,8,300,19
1.8191,50,10,100,19
1.6912,50,8,300,19
1.8014,50,10,200,19
1.7344,50,10,100,19
1.7478,50,10,200,19
1.8391,50,10,300,19
1.8209,300,5,100,1
1.6253,100,2,100,19
1.6318,100,2,200,19
1.7523,50,10,300,19
1.6316,100,2,300,19
1.5298,100,2,100,19
1.6321,100,4,100,19
1.6299,100,4,200,18
1.5225,300,5,100,59
1.5080,100,2,200,19
1.6034,100,4,300,18
1.7196,100,6,100,18
1.6208,100,6,200,19
1.5283,100,2,300,17
1.6300,100,6,300,19
1.7483,100,8,100,19
1.5170,100,4,100,19
1.7507,100,8,200,19
1.7262,100,8,300,19
1.9462,100,10,100,18
1.5434,100,4,200,17
1.8737,100,10,200,19
1.8304,100,10,300,19
1.5427,100,4,300,16
1.5794,150,2,100,17
1.5859,150,2,200,18
1.5625,150,2,300,19
1.5622,100,6,100,19
1.5892,150,4,100,17
1.5499,150,4,200,18
1.5804,100,6,200,19
1.5153,150,4,300,18
1.5988,100,6,300,19
1.6654,150,6,100,19
1.6896,150,6,200,18
1.6270,100,8,100,17
1.6119,150,6,300,19
1.7033,150,8,100,19
1.7202,150,8,200,19
1.6402,100,8,200,19
1.6847,150,8,300,19
1.6511,100,8,300,19
1.8512,150,10,200,19
1.7329,100,10,100,18
1.6950,100,10,200,19
1.8362,150,10,300,19
1.5120,200,2,100,19
1.5112,200,2,200,19
1.6490,100,10,300,19
1.5228,200,2,300,17
1.5113,200,4,100,19
1.5142,150,2,100,19
1.4879,200,4,200,19
1.4916,150,2,200,15
1.4499,200,4,300,19
1.6470,200,6,100,19
1.4702,150,2,300,15
1.5644,200,6,200,19
1.5379,200,6,300,19
1.5012,150,4,100,19
1.7020,200,8,100,18
1.6495,200,8,200,19
1.4856,150,4,200,17
1.6713,200,8,300,19
1.5082,150,4,300,17
1.7977,200,10,100,19
1.5401,150,6,100,18
1.6916,200,10,200,19
1.5188,150,6,200,18
1.5620,150,6,300,18
1.8221,200,10,300,19
1.6424,150,8,100,19
1.4657,250,2,100,18
1.6369,150,8,200,19
1.4745,250,2,200,18
1.5455,150,8,300,19
1.4573,250,2,300,19
1.4297,250,4,100,18
1.6449,150,10,100,19
1.4018,250,4,200,19
1.8162,150,10,200,19
1.4379,250,4,300,18
1.6339,150,10,300,19
1.5574,250,6,100,18
1.4943,200,2,100,18
1.4954,250,6,200,19
1.4565,200,2,200,17
1.4481,200,2,300,19
1.4705,250,6,300,19
1.5009,200,4,100,18
1.4872,250,8,100,19
1.4700,200,4,200,18
1.6425,250,8,200,19
1.5052,200,4,300,15
1.6931,250,8,300,18
1.4998,200,6,100,19
1.5137,200,6,200,16
1.6897,250,10,100,19
1.4731,200,6,300,18
1.6798,250,10,200,19
1.5109,200,8,100,19
1.7281,250,10,300,19
1.5374,200,8,200,16
